,Aguascalientes,Mexicali,La Paz,San Francisco de Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Victoria de Durango,Toluca,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca de Juárez,Puebla de Zaragoza,Santiago de Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala de Xicohténcatl,Xalapa,Mérida,Zacatecas
Toluca,6.416666666666667,39.21666666666667,34.18333333333333,17.616666666666667,13.233333333333333,18.616666666666667,1.4333333333333333,12.766666666666667,12.683333333333334,13.416666666666666,0.0,5.066666666666666,41.03333333333333,7.816666666666666,7.866666666666667,3.6166666666666667,2.1333333333333333,10.783333333333333,13.933333333333334,9.216666666666667,4.016666666666667,3.35,27.633333333333333,5.716666666666667,19.716666666666665,29.916666666666668,11.883333333333333,13.983333333333333,3.8666666666666667,7.433333333333334,24.283333333333335,8.433333333333334
Guanajuato,1.9833333333333334,34.88333333333333,29.866666666666667,21.083333333333332,16.7,14.183333333333334,5.333333333333333,10.216666666666667,9.283333333333333,8.983333333333333,5.05,0.0,36.71666666666667,11.283333333333333,3.533333333333333,2.8833333333333333,7.316666666666666,6.466666666666667,11.4,12.683333333333334,7.483333333333333,2.9333333333333336,31.083333333333332,3.1666666666666665,15.4,25.6,15.35,11.433333333333334,7.333333333333333,10.333333333333334,27.733333333333334,4.0
Chilpancingo,30.633333333333333,2.0166666666666666,29.116666666666667,57.766666666666666,53.36666666666667,18.666666666666668,41.93333333333333,27.45,39.45,26.75,40.583333333333336,37.68333333333333,0.0,47.96666666666667,33.983333333333334,38.2,42.61666666666667,31.1,30.4,49.36666666666667,44.15,40.78333333333333,67.76666666666667,33.05,22.25,11.583333333333334,52.03333333333333,37.35,44.0,47.016666666666666,64.41666666666667,28.916666666666668
Pachuca,12.433333333333334,46.266666666666666,41.233333333333334,10.533333333333333,6.15,24.633333333333333,5.983333333333333,23.533333333333335,19.733333333333334,19.433333333333334,7.1,11.083333333333334,48.083333333333336,0.0,14.916666666666666,10.666666666666666,7.283333333333333,17.833333333333332,21.883333333333333,5.016666666666667,3.966666666666667,9.35,20.533333333333335,11.733333333333333,26.766666666666666,36.96666666666667,4.8,17.1,4.466666666666667,3.6,17.183333333333334,14.466666666666667
Guadalajara,3.35,31.483333333333334,26.466666666666665,23.95,19.566666666666666,15.55,8.116666666666667,14.666666666666666,5.983333333333333,10.35,6.783333333333333,3.8833333333333333,33.31666666666667,14.15,0.0,4.4,8.8,3.066666666666667,16.1,15.55,10.35,6.966666666666667,33.96666666666667,5.05,11.983333333333333,22.2,18.216666666666665,13.966666666666667,10.2,13.216666666666667,30.616666666666667,5.383333333333334
Morelia,4.166666666666667,36.6,31.566666666666666,20.5,16.1,16.383333333333333,4.666666666666667,12.75,10.066666666666666,11.183333333333334,3.3166666666666664,2.8166666666666664,38.416666666666664,10.683333333333334,5.25,0.0,5.35,8.166666666666666,13.933333333333334,12.083333333333334,6.883333333333333,2.6666666666666665,30.5,5.7,17.1,27.3,14.75,13.966666666666667,6.733333333333333,9.75,27.15,6.2
Cuernavaca,8.666666666666666,41.15,36.13333333333333,17.766666666666666,13.366666666666667,20.866666666666667,1.6166666666666667,15.016666666666667,14.633333333333333,15.666666666666666,2.066666666666667,7.3,42.983333333333334,7.95,9.816666666666666,5.566666666666666,0.0,12.733333333333333,16.183333333333334,9.366666666666667,3.8,5.583333333333333,27.766666666666666,7.95,21.666666666666668,31.866666666666667,12.016666666666667,17.433333333333334,4.133333333333334,6.6,24.416666666666668,10.683333333333334
Tepic,6.233333333333333,28.566666666666666,23.55,26.833333333333332,22.433333333333334,16.95,11.0,17.533333333333335,8.516666666666667,8.783333333333333,9.65,6.75,30.383333333333333,17.033333333333335,3.05,7.266666666666667,11.683333333333334,0.0,18.966666666666665,18.433333333333334,9.366666666666667,9.85,36.833333333333336,7.916666666666667,9.066666666666666,19.283333333333335,21.1,16.833333333333332,13.066666666666666,16.083333333333332,33.483333333333334,8.25
Monterrey,8.516666666666667,29.533333333333335,26.266666666666666,32.65,28.266666666666666,10.216666666666667,13.85,1.65,17.216666666666665,6.716666666666667,13.566666666666666,11.05,31.233333333333334,22.85,11.466666666666667,13.55,15.833333333333334,14.383333333333333,0.0,27.416666666666668,22.116666666666667,11.083333333333334,42.666666666666664,8.05,11.8,22.0,26.916666666666668,5.45,21.8,19.033333333333335,39.31666666666667,6.916666666666667
Oaxaca de Juárez,13.816666666666666,47.65,42.61666666666667,13.933333333333334,8.933333333333334,26.016666666666666,7.366666666666666,20.166666666666668,21.116666666666667,20.816666666666666,8.5,12.466666666666667,49.46666666666667,4.966666666666667,16.3,12.05,8.666666666666666,19.216666666666665,21.35,0.0,5.35,10.75,23.95,13.116666666666667,28.15,38.35,8.2,21.433333333333334,5.866666666666667,7.05,20.6,15.85
